NOC,Year,Population
BAH,2004,
BAH,2008,
BAH,2012,
BAH,2016,
BAN,1984,
BAN,1988,
BAN,1992,
BAN,1996,
BAN,2000,
BAN,2004,
BAN,2008,
BAN,2012,
BAN,2016,
BAR,1968,
BAR,1972,
BAR,1976,
BAR,1984,
BAR,1988,
BAR,1992,
BAR,1996,
BAR,2000,
BAR,2004,
BAR,2008,
BAR,2012,
BAR,2016,
BDI,1996,6060110
BDI,2000,6378871
BDI,2004,7131688
BDI,2008,8126104
BDI,2012,9245992
BDI,2016,10488002
BEL,1900,6096000
BEL,1906,6096000
BEL,1908,6096000
BEL,1912,6719000
BEL,1920,7498000
BEL,1924,7498000
BEL,1928,7498000
BEL,1932,7552000
BEL,1936,7552000
BEL,1948,8076000
BEL,1952,8346000
BEL,1956,8346000
BEL,1960,9153489
BEL,1964,9378113
BEL,1968,9618756
BEL,1972,9711115
BEL,1976,9818227
BEL,1980,9859242
BEL,1984,9855372
BEL,1988,9901664
BEL,1992,10045158
BEL,1994,10115603
BEL,1996,10156637
BEL,1998,10203008
BEL,2000,10251250
BEL,2002,10332785
BEL,2004,10421137
BEL,2006,10547958
BEL,2008,10709973
BEL,2010,10895586
BEL,2012,11106932
BEL,2014,11209057
BEL,2016,11331422
BEN,1972,3043563
BEN,1980,3717161
BEN,1984,4156819
BEN,1988,4672844
BEN,1992,5331805
BEN,1996,6094272
BEN,2000,6865946
BEN,2004,7750003
BEN,2008,8696915
BEN,2012,9729254
BEN,2016,10872072
BER,1936,
BER,1948,
BER,1952,
BER,1956,
BER,1960,
BER,1964,
BER,1968,
BER,1972,
BER,1976,
BER,1984,
BER,1988,
BER,1992,
BER,1994,
BER,1996,
BER,1998,
BER,2000,
BER,2002,
BER,2004,
BER,2006,
BER,2008,
BER,2010,
BER,2012,
BER,2014,
BER,2016,
BHU,1984,
BHU,1988,
BHU,1992,
BHU,1996,
BHU,2000,
BHU,2004,
BHU,2008,
BHU,2012,
BHU,2016,
BIH,1992,4233673
BIH,1994,3936527
BIH,1996,3764419
BIH,1998,3734338
BIH,2000,3751176
BIH,2002,3759389
BIH,2004,3764194
BIH,2006,3765422
BIH,2008,3754261
BIH,2010,3705478
BIH,2012,3604972
BIH,2014,3482106
BIH,2016,3386263
BIZ,1968,
BIZ,1972,
BIZ,1976,
BIZ,1984,
BIZ,1988,
BIZ,1992,
BIZ,1996,
BIZ,2000,
BIZ,2004,
BIZ,2008,
BIZ,2012,
BIZ,2016,
BLR,1994,10227000
BLR,1996,10160000
BLR,1998,10069000
BLR,2000,9979610
BLR,2002,9865548
BLR,2004,9730146
BLR,2006,9604924
BLR,2008,9527985
BLR,2010,9490583
BLR,2012,9464495
BLR,2014,9474511
BLR,2016,9501534
BOH,1900,
BOH,1906,
BOH,1908,
BOH,1912,
BOL,1936,2136000
BOL,1956,2690000
BOL,1964,3957759
BOL,1968,4297522
BOL,1972,4682392
BOL,1976,5113458
BOL,1980,5579932
BOL,1984,6054126
BOL,1988,6580318
BOL,1992,7160917
BOL,1996,7779268
BOL,2000,8418270
BOL,2004,9069044
BOL,2008,9721457
BOL,2012,10377677
BOL,2016,11031822
BOT,1980,
BOT,1984,
BOT,1988,
BOT,1992,
BOT,1996,
BOT,2000,
BOT,2004,
BOT,2008,
BOT,2012,
BOT,2016,
BRA,1900,14199000
BRA,1920,22216000
BRA,1924,22216000
BRA,1932,27404000
BRA,1936,27404000
BRA,1948,33568000
BRA,1952,41114000
BRA,1956,41114000
BRA,1960,72179235
BRA,1964,81064572
BRA,1968,90387079
BRA,1972,99859388
BRA,1976,109790943
BRA,1980,120694012
BRA,1984,132383569
BRA,1988,143627505
BRA,1992,154259382
BRA,1994,159432717
BRA,1996,164614682
BRA,1998,169785253
BRA,2000,174790339
BRA,2002,179537523
BRA,2004,184006479
BRA,2006,188167353
BRA,2008,192030362
BRA,2010,195713637
BRA,2012,199287292
BRA,2014,202763744
BRA,2016,206163056
BRN,1984,218176
BRN,1988,244405
BRN,1992,273888
BRN,1996,304620
BRN,2000,333166
BRN,2004,359434
BRN,2008,379418
BRN,2012,398997
BRN,2016,419791
BRU,1996,
BRU,2000,
BRU,2004,
BRU,2012,
BRU,2016,
BUL,1924,
BUL,1928,
BUL,1932,
BUL,1936,
BUL,1948,
BUL,1952,
BUL,1956,
BUL,1960,
BUL,1964,
BUL,1968,
BUL,1972,
BUL,1976,
BUL,1980,
BUL,1984,
BUL,1988,
BUL,1992,
BUL,1994,
BUL,1996,
BUL,1998,
BUL,2000,
BUL,2002,
BUL,2004,
BUL,2006,
BUL,2008,
BUL,2010,
BUL,2012,
BUL,2014,
BUL,2016,
BUR,1972,
BUR,1988,
BUR,1992,
BUR,1996,
BUR,2000,
BUR,2004,
BUR,2008,
BUR,2012,
BUR,2016,
CAF,1968,1744198
CAF,1984,2478382
CAF,1988,2693974
CAF,1992,2959236
CAF,1996,3308235
CAF,2000,3640421
CAF,2004,3959883
CAF,2008,4273368
CAF,2012,4436411
CAF,2016,4537683
CAM,1956,
CAM,1964,
CAM,1972,
CAM,1996,
CAM,2000,
CAM,2004,
CAM,2008,
CAM,2012,
CAM,2016,
CAN,1900,4918000
CAN,1904,4918000
CAN,1906,4918000
CAN,1908,4918000
CAN,1912,5457000
CAN,1920,7188000
CAN,1924,7188000
CAN,1928,7188000
CAN,1932,8798000
CAN,1936,8798000
CAN,1948,10488000
CAN,1952,11688000
CAN,1956,11688000
CAN,1960,17909009
CAN,1964,19325000
CAN,1968,20744000
CAN,1972,22218463
CAN,1976,23449808
CAN,1980,24515667
CAN,1984,25607053
CAN,1988,26791747
CAN,1992,28371264
CAN,1994,29000663
CAN,1996,29610218
CAN,1998,30155173
CAN,2000,30685730
CAN,2002,31360079
CAN,2004,31940655
CAN,2006,32571174
CAN,2008,33247118
CAN,2010,34004889
CAN,2012,34714222
CAN,2014,35437435
CAN,2016,36109487
CAY,1976,
CAY,1984,
CAY,1988,
CAY,1992,
CAY,1996,
CAY,2000,
CAY,2004,
CAY,2008,
CAY,2010,
CAY,2012,
CAY,2014,
CAY,2016,
CGO,1964,
CGO,1972,
CGO,1980,
CGO,1984,
CGO,1988,
CGO,1992,
CGO,1996,
CGO,2000,
CGO,2004,
CGO,2008,
CGO,2012,
CGO,2016,
CHA,1964,
CHA,1968,
CHA,1972,
CHA,1984,
CHA,1988,
CHA,1992,
CHA,1996,
CHA,2000,
CHA,2004,
CHA,2008,
CHA,2012,
CHA,2016,
CHI,1912,
CHI,1920,
CHI,1924,
CHI,1928,
CHI,1936,
CHI,1948,
CHI,1952,
CHI,1956,
CHI,1960,109419
CHI,1964,113777
CHI,1968,118725
CHI,1972,123611
CHI,1976,126908
CHI,1984,132445
CHI,1988,138250
CHI,1992,142006
CHI,1994,142867
CHI,1996,144348
CHI,1998,146500
CHI,2000,148439
CHI,2002,149591
CHI,2004,150722
CHI,2006,152999
CHI,2008,156441
CHI,2010,159718
CHI,2012,162051
CHI,2014,164107
CHI,2016,166922
CHN,1932,472000000
CHN,1936,472000000
CHN,1948,489000000
CHN,1952,518770000
CHN,1980,981235000
CHN,1984,1036825000
CHN,1988,1101630000
CHN,1992,1164970000
CHN,1994,1191835000
CHN,1996,1217550000
CHN,1998,1241935000
CHN,2000,1262645000
CHN,2002,1280400000
CHN,2004,1296075000
CHN,2006,1311020000
CHN,2008,1324655000
CHN,2010,1337705000
CHN,2012,1350695000
CHN,2014,1364270000
CHN,2016,1378665000
CIV,1964,4071411
CIV,1968,4713134
CIV,1972,5576026
CIV,1976,6713949
CIV,1984,9530103
CIV,1988,11094740
CIV,1992,12812428
CIV,1996,14665125
CIV,2000,16454660
CIV,2004,17970493
CIV,2008,19605568
CIV,2012,21547188
CIV,2016,23822726
CMR,1964,5643039
CMR,1968,6201410
CMR,1972,6867170
CMR,1976,7664398
CMR,1980,8621409
CMR,1984,9757849
CMR,1988,11075423
CMR,1992,12499499
CMR,1996,13970812
CMR,2000,15513944
CMR,2002,16357605
CMR,2004,17259322
CMR,2008,19252674
CMR,2012,21485267
CMR,2016,23926549
COD,1968,18913874
COD,1984,29119663
COD,1988,32443784
COD,1992,37333917
COD,1996,42757239
COD,2000,47105830
COD,2004,53068869
COD,2008,60411195
COD,2012,69020749
COD,2016,78789130
COK,1988,
COK,1992,
COK,1996,
COK,2000,
COK,2004,
COK,2008,
COK,2012,
COK,2016,
COL,1900,3369000
COL,1932,6213000
COL,1936,6213000
COL,1948,7914000
COL,1956,9174000
COL,1960,16057714
COL,1964,18175187
COL,1968,20393704
COL,1972,22516429
COL,1976,24608102
COL,1980,26900508
COL,1984,29331230
COL,1988,31822527
COL,1992,34422568
COL,1996,37076387
COL,2000,39629965
COL,2004,42075953
COL,2008,44254972
COL,2010,45222699
COL,2012,46075721
COL,2016,48175048
COM,1996,488625
COM,2000,542358
COM,2004,597230
COM,2008,657227
COM,2012,723865
COM,2016,795597
CPV,1996,395533
CPV,2000,428178
CPV,2004,456619
CPV,2008,480846
CPV,2012,505241
CPV,2016,531140
CRC,1936,
CRC,1964,
CRC,1968,
CRC,1972,
CRC,1976,
CRC,1980,
CRC,1984,
CRC,1988,
CRC,1992,
CRC,1996,
CRC,2000,
CRC,2002,
CRC,2004,
CRC,2006,
CRC,2008,
CRC,2012,
CRC,2016,
CRO,1992,
CRO,1994,
CRO,1996,
CRO,1998,
CRO,2000,
CRO,2002,
CRO,2004,
CRO,2006,
CRO,2008,
CRO,2010,
CRO,2012,
CRO,2014,
CRO,2016,
CRT,1906,
CUB,1900,1632000
CUB,1904,1632000
CUB,1924,2219000
CUB,1928,2219000
CUB,1932,2997000
CUB,1948,3837000
CUB,1952,4566000
CUB,1956,4566000
CUB,1960,7141241
CUB,1964,7793258
CUB,1968,8413549
CUB,1972,9025347
CUB,1976,9554186
CUB,1980,9849457
CUB,1992,10736386
CUB,1996,10939285
CUB,2000,11126423
CUB,2004,11250369
CUB,2008,11236975
CUB,2012,11257112
CUB,2016,11335108
CYP,1980,685408
CYP,1984,697715
CYP,1988,736476
CYP,1992,800610
CYP,1994,837104
CYP,1996,873426
CYP,1998,908710
CYP,2000,943288
CYP,2002,976968
CYP,2004,1010410
CYP,2006,1045508
CYP,2008,1081568
CYP,2010,1112617
CYP,2012,1135046
CYP,2014,1152297
CYP,2016,1170189
CZE,1994,10333587
CZE,1996,10315241
CZE,1998,10294373
CZE,2000,10255063
CZE,2002,10196916
CZE,2004,10197101
CZE,2006,10238905
CZE,2008,10384603
CZE,2010,10474410
CZE,2012,10510785
CZE,2014,10525347
CZE,2016,10566332
DEN,1896,
DEN,1900,
DEN,1906,
DEN,1908,
DEN,1912,
DEN,1920,
DEN,1924,
DEN,1928,
DEN,1932,
DEN,1936,
DEN,1948,
DEN,1952,
DEN,1956,
DEN,1960,
DEN,1964,
DEN,1968,
DEN,1972,
DEN,1976,
DEN,1980,
DEN,1984,
DEN,1988,
DEN,1992,
DEN,1994,
DEN,1996,
DEN,1998,
DEN,2000,
DEN,2002,
DEN,2004,
DEN,2006,
DEN,2008,
DEN,2010,
DEN,2012,
DEN,2014,
DEN,2016,
DJI,1984,406018
DJI,1988,528993
DJI,1992,615050
DJI,1996,643649
DJI,2000,717577
DJI,2008,816361
DJI,2012,868136
DJI,2016,929117
DMA,1996,70933
DMA,2000,69650
DMA,2004,70387
DMA,2008,70829
DMA,2012,70954
DMA,2014,71091
DMA,2016,71307
DOM,1964,3757123
DOM,1968,4247559
DOM,1972,4755464
DOM,1976,5275767
DOM,1980,5803929
DOM,1984,6331760
DOM,1988,6863438
DOM,1992,7408339
DOM,1996,7952766
DOM,2000,8471317
DOM,2004,8974444
DOM,2008,9458079
DOM,2012,9930916
DOM,2016,10397738
ECU,1924,1617000
ECU,1968,5725462
ECU,1972,6429377
ECU,1976,7187794
ECU,1980,7989178
ECU,1984,8843463
ECU,1988,9755576
ECU,1992,10716131
ECU,1996,11703169
ECU,2000,12681123
ECU,2004,13596390
ECU,2008,14535740
ECU,2012,15474099
ECU,2016,16491116
EGY,1906,8799253.883
EGY,1920,11698511.7
EGY,1924,11698511.7
EGY,1928,11698511.7
EGY,1936,13139464.51
EGY,1948,14679848.82
EGY,1952,16812181.46
EGY,1956,16812181.46
EGY,1964,29644875
EGY,1968,32881852
EGY,1972,36102670
EGY,1976,39422731
EGY,1984,47968643
EGY,1988,53399243
EGY,1992,58666812
EGY,1996,63601632
EGY,2000,68831561
EGY,2004,74172073
EGY,2008,79636081
EGY,2012,86422240
EGY,2016,94447071
ERI,2000,2292413
ERI,2004,2719809
ERI,2008,3062782
ERI,2012,0
ERI,2016,0
ESA,1932,
ESA,1968,
ESA,1972,
ESA,1984,
ESA,1988,
ESA,1992,
ESA,1996,
ESA,2000,
ESA,2004,
ESA,2008,
ESA,2012,
ESA,2016,
ESP,1900,17757000
ESP,1920,19858000
ESP,1924,19858000
ESP,1928,19858000
ESP,1932,21232000
ESP,1936,21232000
ESP,1948,23445000
ESP,1952,25757000
ESP,1956,25757000
ESP,1960,30455000
ESP,1964,31609195
ESP,1968,33113134
ESP,1972,34604469
ESP,1976,36137812
ESP,1980,37491165
ESP,1984,38330364
ESP,1988,38766939
ESP,1992,39157685
ESP,1994,39549108
ESP,1996,39889852
ESP,1998,40223509
ESP,2000,40567864
ESP,2002,41431558
ESP,2004,42921895
ESP,2006,44397319
ESP,2008,45954106
ESP,2010,46576897
ESP,2012,46773055
ESP,2014,46480882
ESP,2016,46484062
EST,1920,986000
EST,1924,986000
EST,1928,986000
EST,1932,1115000
EST,1936,1115000
EST,1992,1533091
EST,1994,1462514
EST,1996,1415594
EST,1998,1386156
EST,2000,1396985
EST,2002,1379350
EST,2004,1362550
EST,2006,1346810
EST,2008,1337090
EST,2010,1331475
EST,2012,1322696
EST,2014,1314545
EST,2016,1315790
ETH,1956,18434000
ETH,1960,22151284
ETH,1964,24397010
ETH,1968,26944386
ETH,1972,30140799
ETH,1980,35141703
ETH,1992,51423591
ETH,1996,58883531
ETH,2000,66224809
ETH,2004,74239508
ETH,2006,78489205
ETH,2008,82916236
ETH,2010,87639962
ETH,2012,92726982
ETH,2016,103603461
EUN,1992,
FIJ,1956,
FIJ,1960,
FIJ,1968,
FIJ,1972,
FIJ,1976,
FIJ,1984,
FIJ,1988,
FIJ,1992,
FIJ,1994,
FIJ,1996,
FIJ,2000,
FIJ,2002,
FIJ,2004,
FIJ,2008,
FIJ,2012,
FIJ,2016,
FIN,1906,2364000
FIN,1908,2364000
FIN,1912,2646000
FIN,1920,2929000
FIN,1924,2929000
FIN,1928,2929000
FIN,1932,3133000
FIN,1936,3133000
FIN,1948,3449000
FIN,1952,3698000
FIN,1956,3698000
FIN,1960,4429634
FIN,1964,4548543
FIN,1968,4626469
FIN,1972,4639657
FIN,1976,4725664
FIN,1980,4779535
FIN,1984,4881803
FIN,1988,4946481
FIN,1992,5041992
FIN,1994,5088333
FIN,1996,5124573
FIN,1998,5153498
FIN,2000,5176209
FIN,2002,5200598
FIN,2004,5228172
FIN,2006,5266268
FIN,2008,5313399
FIN,2010,5363352
FIN,2012,5413971
FIN,2014,5461512
FIN,2016,5495303
FRA,1896,40014000
FRA,1900,40014000
FRA,1904,40014000
FRA,1906,40014000
FRA,1908,40014000
FRA,1912,40598000
FRA,1920,41224000
FRA,1924,41224000
FRA,1928,41224000
FRA,1932,39000000
FRA,1936,39000000
FRA,1948,41610000
FRA,1952,41000000
FRA,1956,41000000
FRA,1960,46621688
FRA,1964,49230585
FRA,1968,51175507
FRA,1972,52793151
FRA,1976,54220033
FRA,1980,55161510
FRA,1984,56337675
FRA,1988,57627106
FRA,1992,58851216
FRA,1994,59327200
FRA,1996,59753095
FRA,1998,60186284
FRA,2000,60912500
FRA,2002,61805266
FRA,2004,62704901
FRA,2006,63621376
FRA,2008,64374979
FRA,2010,65027505
FRA,2012,65659814
FRA,2014,66312067
FRA,2016,66724104
FRG,1968,
FRG,1972,
FRG,1976,
FRG,1980,
FRG,1984,
FRG,1988,
FSM,2000,107405
FSM,2004,106624
FSM,2008,103549
FSM,2012,104506
FSM,2016,110215
GAB,1972,611705
GAB,1984,805117
GAB,1988,898472
GAB,1992,1002573
GAB,1996,1112944
GAB,2000,1228359
GAB,2004,1353788
GAB,2008,1518538
GAB,2012,1749677
GAB,2016,2007882
GAM,1984,
GAM,1988,
GAM,1992,
GAM,1996,
GAM,2000,
GAM,2004,
GAM,2008,
GAM,2012,
GAM,2016,
GBR,1896,37485000
GBR,1900,37485000
GBR,1904,37485000
GBR,1906,37485000
GBR,1908,37485000
GBR,1912,41155000
GBR,1920,44916000
GBR,1924,44916000
GBR,1928,44916000
GBR,1932,46821000
GBR,1936,46821000
GBR,1948,45866000
GBR,1952,48226000
GBR,1956,48226000
GBR,1960,52400000
GBR,1964,54000000
GBR,1968,55211700
GBR,1972,56086065
GBR,1976,56211968
GBR,1980,56314216
GBR,1984,56422072
GBR,1988,56928327
GBR,1992,57580402
GBR,1994,57865745
GBR,1996,58166950
GBR,1998,58487141
GBR,2000,58892514
GBR,2002,59370479
GBR,2004,59987905
GBR,2006,60846820
GBR,2008,61806995
GBR,2010,62766365
GBR,2012,63700215
GBR,2014,64602298
GBR,2016,65611593
GBS,1996,
GBS,2000,
GBS,2004,
GBS,2008,
GBS,2012,
GBS,2016,
GDR,1968,
GDR,1972,
GDR,1976,
GDR,1980,
GDR,1984,
GDR,1988,
GEO,1994,4836076
GEO,1996,4491699
GEO,1998,4243607
GEO,2000,4077131
GEO,2002,3978515
GEO,2004,3927340
GEO,2006,3880347
GEO,2008,3848449
GEO,2010,3786695
GEO,2012,3728874
GEO,2014,3719414
GEO,2016,3727505
GEQ,1984,
GEQ,1988,
GEQ,1992,
GEQ,1996,
GEQ,2000,
GEQ,2004,
GEQ,2008,
GEQ,2012,
GEQ,2016,
GER,1896,
GER,1900,
GER,1904,
GER,1906,
GER,1908,
GER,1912,
GER,1928,
GER,1932,
GER,1936,
GER,1952,
GER,1956,
GER,1960,
GER,1964,
GER,1992,
GER,1994,
GER,1996,
GER,1998,
GER,2000,
GER,2002,
GER,2004,
GER,2006,
GER,2008,
GER,2010,
GER,2012,
GER,2014,
GER,2016,
GHA,1952,4386337.833
GHA,1960,6635229
GHA,1964,7524470
GHA,1968,8321773
GHA,1972,9229640
GHA,1984,12405659
GHA,1988,13947047
GHA,1992,15653345
GHA,1996,17462504
GHA,2000,19278850
GHA,2004,21272328
GHA,2008,23563832
GHA,2010,24779614
GHA,2012,25996454
GHA,2016,28481947
GRE,1896,
GRE,1900,
GRE,1904,
GRE,1906,
GRE,1908,
GRE,1912,
GRE,1920,
GRE,1924,
GRE,1928,
GRE,1932,
GRE,1936,
GRE,1948,
GRE,1952,
GRE,1956,
GRE,1960,
GRE,1964,
GRE,1968,
GRE,1972,
GRE,1976,
GRE,1980,
GRE,1984,
GRE,1988,
GRE,1992,
GRE,1994,
GRE,1996,
GRE,1998,
GRE,2000,
GRE,2002,
GRE,2004,
GRE,2006,
GRE,2008,
GRE,2010,
GRE,2012,
GRE,2014,
GRE,2016,
GRN,1984,
GRN,1988,
GRN,1992,
GRN,1996,
GRN,2000,
GRN,2004,
GRN,2008,
GRN,2012,
GRN,2016,
GUA,1932,
GUA,1952,
GUA,1968,
GUA,1972,
GUA,1976,
GUA,1980,
GUA,1984,
GUA,1988,
GUA,1992,
GUA,1996,
GUA,2000,
GUA,2004,
GUA,2008,
GUA,2012,
GUA,2016,
GUI,1968,
GUI,1980,
GUI,1984,
GUI,1988,
GUI,1992,
GUI,1996,
GUI,2000,
GUI,2004,
GUI,2008,
GUI,2012,
GUI,2016,
GUM,1988,124674
GUM,1992,136693
GUM,1996,148061
GUM,2000,155323
GUM,2004,158094
GUM,2008,159037
GUM,2012,159990
GUM,2016,162948
GUY,1948,311000
GUY,1952,347000
GUY,1956,347000
GUY,1960,571813
GUY,1964,637835
GUY,1968,686144
GUY,1972,721949
GUY,1980,780153
GUY,1984,775217
GUY,1988,750641
GUY,1992,748596
GUY,1996,760801
GUY,2000,746718
GUY,2004,745737
GUY,2008,746815
GUY,2012,755388
GUY,2016,771363
HAI,1900,
HAI,1924,
HAI,1928,
HAI,1932,
HAI,1960,
HAI,1972,
HAI,1976,
HAI,1984,
HAI,1988,
HAI,1992,
HAI,1996,
HAI,2000,
HAI,2004,
HAI,2008,
HAI,2012,
HAI,2016,
HKG,1952,
HKG,1956,
HKG,1960,3075605
HKG,1964,3504600
HKG,1968,3802700
HKG,1972,4123600
HKG,1976,4518000
HKG,1984,5397900
HKG,1988,5627600
HKG,1992,5800500
HKG,1996,6435500
HKG,2000,6665000
HKG,2002,6744100
HKG,2004,6783500
HKG,2006,6857100
HKG,2008,6957800
HKG,2010,7024200
HKG,2012,7150100
HKG,2014,7229500
HKG,2016,7336600
HON,1968,
HON,1976,
HON,1984,
HON,1988,
HON,1992,
HON,1996,
HON,2000,
HON,2004,
HON,2008,
HON,2012,
HON,2016,
HUN,1896,6622000
HUN,1900,6622000
HUN,1904,6622000
HUN,1906,6622000
HUN,1908,6622000
HUN,1912,7127000
HUN,1924,7644000
HUN,1928,7644000
HUN,1932,7950000
HUN,1936,7950000
HUN,1948,8649000
HUN,1952,9287000
HUN,1956,9287000
HUN,1960,9983967
HUN,1964,10119835
HUN,1968,10255815
HUN,1972,10398489
HUN,1976,10598677
HUN,1980,10711122
HUN,1984,10668095
HUN,1988,10596487
HUN,1992,10369341
HUN,1994,10343355
HUN,1996,10311238
HUN,1998,10266570
HUN,2000,10210971
HUN,2002,10158608
HUN,2004,10107146
HUN,2006,10071370
HUN,2008,10038188
HUN,2010,10000023
HUN,2012,9920362
HUN,2014,9866468
HUN,2016,9814023
INA,1952,
INA,1956,
INA,1960,
INA,1968,
INA,1972,
INA,1976,
INA,1984,
INA,1988,
INA,1992,
INA,1996,
INA,2000,
INA,2004,
INA,2008,
INA,2012,
INA,2016,
IND,1900,279626000
IND,1920,302100000
IND,1924,302100000
IND,1928,302100000
IND,1932,305600000
IND,1936,305600000
IND,1948,336400000
IND,1952,386800000
IND,1956,386800000
IND,1960,450547675
IND,1964,488848139
IND,1968,531513834
IND,1972,581087255
IND,1976,637630085
IND,1980,698952837
IND,1984,766833411
IND,1988,837468938
IND,1992,909307018
IND,1996,982365248
IND,1998,1019483586
IND,2000,1056575548
IND,2002,1093317187
IND,2004,1129623466
IND,2006,1165486291
IND,2008,1200669762
IND,2010,1234281163
IND,2012,1265780243
IND,2014,1295600768
IND,2016,1324517250
IOA,1992,
IOA,2000,
IOA,2012,
IOA,2014,
IOA,2016,
IRI,1900,
IRI,1948,
IRI,1952,
IRI,1956,
IRI,1960,
IRI,1964,
IRI,1968,
IRI,1972,
IRI,1976,
IRI,1988,
IRI,1992,
IRI,1996,
IRI,1998,
IRI,2000,
IRI,2002,
IRI,2004,
IRI,2006,
IRI,2008,
IRI,2010,
IRI,2012,
IRI,2014,
IRI,2016,
IRL,1924,4385000
IRL,1928,4385000
IRL,1932,4361000
IRL,1948,2927000
